edge_type_id target_query source_query weight_function syn_weight target_sections weight_sigma dynamics_params delay model_template distance_range
177 node_type_id=='485835055' pop_name=='e4Scnn1a' DirectionRule_EE 0.000647903145051 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
178 node_type_id=='485880739' pop_name=='e4Scnn1a' DirectionRule_EE 0.0007721614098510001 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
179 node_type_id=='486052980' pop_name=='e4Scnn1a' DirectionRule_EE 0.000897951825332 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
180 node_type_id=='486110216' pop_name=='e4Scnn1a' DirectionRule_EE 0.000688643322757 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
181 node_type_id=='487664663' pop_name=='e4Scnn1a' DirectionRule_EE 0.000890493189227 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
182 node_type_id=='471129934' pop_name=='i23Pvalb' DirectionRule_others 7.838888615299999e-05 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
183 node_type_id=='471143169' pop_name=='i23Pvalb' DirectionRule_others 1.11237593421e-05 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
184 node_type_id=='471758398' pop_name=='i23Pvalb' DirectionRule_others 4.70591699995e-05 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
185 node_type_id=='471767045' pop_name=='i23Pvalb' DirectionRule_others 2.68385960753e-05 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
186 node_type_id=='485574832' pop_name=='i23Pvalb' DirectionRule_others 2.4373507985e-05 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
187 node_type_id=='485835055' pop_name=='i23Pvalb' DirectionRule_others 1.49208102125e-05 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
188 node_type_id=='485880739' pop_name=='i23Pvalb' DirectionRule_others 2.48387417058e-05 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
189 node_type_id=='486052980' pop_name=='i23Pvalb' DirectionRule_others 4.55150733334e-05 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
190 node_type_id=='486110216' pop_name=='i23Pvalb' DirectionRule_others 0.000103239822184 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
191 node_type_id=='487664663' pop_name=='i23Pvalb' DirectionRule_others 2.33257923903e-05 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
192 node_type_id=='471129934' pop_name=='e4other' DirectionRule_EE 0.00103795967626 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
193 node_type_id=='471143169' pop_name=='e4other' DirectionRule_EE 0.00044308964526699996 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
194 node_type_id=='471758398' pop_name=='e4other' DirectionRule_EE 0.0006198463559269999 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
195 node_type_id=='471767045' pop_name=='e4other' DirectionRule_EE 0.000794301297115 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
196 node_type_id=='485574832' pop_name=='e4other' DirectionRule_EE 0.000835992146815 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
197 node_type_id=='485835055' pop_name=='e4other' DirectionRule_EE 0.000647903145051 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
198 node_type_id=='485880739' pop_name=='e4other' DirectionRule_EE 0.0007721614098510001 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
199 node_type_id=='486052980' pop_name=='e4other' DirectionRule_EE 0.000897951825332 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
200 node_type_id=='486110216' pop_name=='e4other' DirectionRule_EE 0.000688643322757 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
201 node_type_id=='487664663' pop_name=='e4other' DirectionRule_EE 0.000890493189227 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
202 node_type_id=='471129934' pop_name=='i5Pvalb' DirectionRule_others 0.000631063328775 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
203 node_type_id=='471143169' pop_name=='i5Pvalb' DirectionRule_others 8.1517086419e-05 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
204 node_type_id=='471758398' pop_name=='i5Pvalb' DirectionRule_others 0.000365628546548 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
205 node_type_id=='471767045' pop_name=='i5Pvalb' DirectionRule_others 0.00019647203037299999 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
206 node_type_id=='485574832' pop_name=='i5Pvalb' DirectionRule_others 0.00017913739783700005 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
207 node_type_id=='485835055' pop_name=='i5Pvalb' DirectionRule_others 0.000108195401734 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
208 node_type_id=='485880739' pop_name=='i5Pvalb' DirectionRule_others 0.00018263021151700002 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
209 node_type_id=='486052980' pop_name=='i5Pvalb' DirectionRule_others 0.000343337565178 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
210 node_type_id=='486110216' pop_name=='i5Pvalb' DirectionRule_others 0.0008594619073300001 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
211 node_type_id=='487664663' pop_name=='i5Pvalb' DirectionRule_others 0.000176302119792 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
212 node_type_id=='471129934' pop_name=='i4Pvalb' DirectionRule_others 0.000319715784342 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
213 node_type_id=='471143169' pop_name=='i4Pvalb' DirectionRule_others 4.18124345218e-05 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
214 node_type_id=='471758398' pop_name=='i4Pvalb' DirectionRule_others 0.00018604291193599997 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
215 node_type_id=='471767045' pop_name=='i4Pvalb' DirectionRule_others 0.00010067224174299998 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
216 node_type_id=='485574832' pop_name=='i4Pvalb' DirectionRule_others 9.17741681765e-05 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
217 node_type_id=='485835055' pop_name=='i4Pvalb' DirectionRule_others 5.55250874805e-05 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
218 node_type_id=='485880739' pop_name=='i4Pvalb' DirectionRule_others 9.35347114345e-05 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
219 node_type_id=='486052980' pop_name=='i4Pvalb' DirectionRule_others 0.00017534182132799994 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
220 node_type_id=='486110216' pop_name=='i4Pvalb' DirectionRule_others 0.000433977059052 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
221 node_type_id=='487664663' pop_name=='i4Pvalb' DirectionRule_others 9.00136512815e-05 "[""somatic"", ""basal"", ""apical""]" 90.0 GABA_InhToExc.json 0.9 exp2syn "[0.0, 50.0]"
222 node_type_id=='471129934' pop_name=='e4Rorb' DirectionRule_EE 0.00103795967626 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
223 node_type_id=='471129934' pop_name=='LIFe4Rorb' DirectionRule_EE 0.00103795967626 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
224 node_type_id=='471143169' pop_name=='e4Rorb' DirectionRule_EE 0.00044308964526699996 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
225 node_type_id=='471758398' pop_name=='e4Rorb' DirectionRule_EE 0.0006198463559269999 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
226 node_type_id=='471767045' pop_name=='e4Rorb' DirectionRule_EE 0.000794301297115 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
227 node_type_id=='471767045' pop_name=='LIFe4Rorb' DirectionRule_EE 0.000794301297115 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
228 node_type_id=='485574832' pop_name=='e4Rorb' DirectionRule_EE 0.000835992146815 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
229 node_type_id=='485574832' pop_name=='LIFe4Rorb' DirectionRule_EE 0.000835992146815 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
230 node_type_id=='485835055' pop_name=='e4Rorb' DirectionRule_EE 0.000647903145051 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
231 node_type_id=='485835055' pop_name=='LIFe4Rorb' DirectionRule_EE 0.000647903145051 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
232 node_type_id=='485880739' pop_name=='e4Rorb' DirectionRule_EE 0.0007721614098510001 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
233 node_type_id=='485880739' pop_name=='LIFe4Rorb' DirectionRule_EE 0.0007721614098510001 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
234 node_type_id=='486052980' pop_name=='e4Rorb' DirectionRule_EE 0.000897951825332 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
235 node_type_id=='486052980' pop_name=='LIFe4Rorb' DirectionRule_EE 0.000897951825332 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
236 node_type_id=='486110216' pop_name=='e4Rorb' DirectionRule_EE 0.000688643322757 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
237 node_type_id=='487664663' pop_name=='e4Rorb' DirectionRule_EE 0.000890493189227 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
238 node_type_id=='487664663' pop_name=='LIFe4Rorb' DirectionRule_EE 0.000890493189227 "[""basal"", ""apical""]" 30.0 AMPA_ExcToExc.json 1.5 exp2syn "[0.0, 1e+20]"
