node_type_id dynamics_params location pop_name model_processing morphology ei population model_type model_template
485574832 485574832_fit.json VisL5 e5Rbp4 aibs_perisomatic Rbp4-Cre_KL100_Ai14-203498.04.02.01_496001061_m.swc e v1 biophysical ctdb:Biophys1.hoc
485835055 485835055_fit.json VisL5 e5Rbp4 aibs_perisomatic Rbp4-Cre_KL100_Ai14-204744.04.01.01_496123897_m.swc e v1 biophysical ctdb:Biophys1.hoc
485880739 485880739_fit.json VisL5 e5Rbp4 aibs_perisomatic Rbp4-Cre_KL100_Ai14-204745.05.01.01_496001050_m.swc e v1 biophysical ctdb:Biophys1.hoc
486052980 486052980_fit.json VisL5 e5Rbp4 aibs_perisomatic Rbp4-Cre_KL100_Ai14-205726.03.02.01_496001094_m.swc e v1 biophysical ctdb:Biophys1.hoc
486110216 486110216_fit.json VisL5 e5Rbp4 aibs_perisomatic Rbp4-Cre_KL100_Ai14-205727.04.02.01_496085260_m.swc e v1 biophysical ctdb:Biophys1.hoc
487664663 487664663_fit.json VisL5 e5Rbp4 aibs_perisomatic Rbp4-Cre_KL100_Ai14-211531.03.01.01_496085294_m.swc e v1 biophysical ctdb:Biophys1.hoc
100000119 e5noRbp4_avg_lif.json VisL5 LIFe5noRbp4   e v1 point_process nrn:IntFire1
314804042 314804042_fit.json VisL5 e5noRbp4 aibs_perisomatic Rorb-IRES2-Cre-D_Ai14-168053.05.01.01_491392788_m.swc e v1 biophysical ctdb:Biophys1.hoc
314831019 314831019_fit.json VisL5 e5noRbp4 aibs_perisomatic Scnn1a-Tg3-Cre_Ai14-168093.03.02.01_491119592_m.swc e v1 biophysical ctdb:Biophys1.hoc
320207387 320207387_fit.json VisL5 e5noRbp4 aibs_perisomatic Scnn1a-Tg3-Cre_Ai14-170426.03.01.01_491392845_m.swc e v1 biophysical ctdb:Biophys1.hoc
323865917 323865917_fit.json VisL5 e5noRbp4 aibs_perisomatic Scnn1a-Tg3-Cre_Ai14-172530.06.01.01_492413272_m.swc e v1 biophysical ctdb:Biophys1.hoc
324025297 324025297_fit.json VisL5 e5noRbp4 aibs_perisomatic Rorb-IRES2-Cre-D_Ai14-172651.04.01.01_491458287_m.swc e v1 biophysical ctdb:Biophys1.hoc
349621141 349621141_fit.json VisL5 e5noRbp4 aibs_perisomatic Scnn1a-Tg2-Cre_Ai14-176961.06.02.01_491253847_m.swc e v1 biophysical ctdb:Biophys1.hoc
354190013 354190013_fit.json VisL5 e5noRbp4 aibs_perisomatic Scnn1a-Tg2-Cre_Ai14-176962.05.01.01_495335447_m.swc e v1 biophysical ctdb:Biophys1.hoc
468120757 468120757_fit.json VisL5 e5noRbp4 aibs_perisomatic Scnn1a-Tg3-Cre_Ai14-177297.05.02.01_495335458_m.swc e v1 biophysical ctdb:Biophys1.hoc
468193142 468193142_fit.json VisL5 e5noRbp4 aibs_perisomatic Scnn1a-Tg3-Cre_Ai14-177297.06.01.01_491120155_m.swc e v1 biophysical ctdb:Biophys1.hoc
469793303 469793303_fit.json VisL5 e5noRbp4 aibs_perisomatic Scnn1a-Tg3-Cre_Ai14-180214.05.02.01_492413246_m.swc e v1 biophysical ctdb:Biophys1.hoc
473601979 473601979_fit.json VisL5 e5noRbp4 aibs_perisomatic Rorb-IRES2-Cre-D_Ai14-181715.04.01.01_491392833_m.swc e v1 biophysical ctdb:Biophys1.hoc
476048909 476048909_fit.json VisL5 e5noRbp4 aibs_perisomatic Rorb-IRES2-Cre-D_Ai14-187416.05.01.01_491796267_m.swc e v1 biophysical ctdb:Biophys1.hoc
476131588 476131588_fit.json VisL5 e5noRbp4 aibs_perisomatic Scnn1a-Tg3-Cre_Ai14-187849.06.02.01_491392799_m.swc e v1 biophysical ctdb:Biophys1.hoc
480116737 480116737_fit.json VisL5 e5noRbp4 aibs_perisomatic Rorb-IRES2-Cre-D_Ai14-197332.04.02.01_492100936_m.swc e v1 biophysical ctdb:Biophys1.hoc
