node_type_id model_template dynamics_params model_processing pop_name population ei location model_type morphology
486783119 ctdb:Biophys1.hoc 486783119_fit.json aibs_perisomatic i5Pvalb v1 i VisL5 biophysical Pvalb-IRES-Cre_Ai14-212809.03.01.01_500961658_m.swc
100000118 nrn:IntFire1 i5Sst_avg_lif.json  LIFi5Sst v1 i VisL5 point_process 
323475862 ctdb:Biophys1.hoc 323475862_fit.json aibs_perisomatic i5Sst v1 i VisL5 biophysical Sst-IRES-Cre_Ai14-172534.06.01.01_491770330_m.swc
464198958 ctdb:Biophys1.hoc 464198958_fit.json aibs_perisomatic i5Sst v1 i VisL5 biophysical Sst-IRES-Cre_Ai14-165865.03.01.01_491119181_m.swc
475517090 ctdb:Biophys1.hoc 475517090_fit.json aibs_perisomatic i5Sst v1 i VisL5 biophysical Sst-IRES-Cre_Ai14-184927.03.02.01_492100832_m.swc
478396248 ctdb:Biophys1.hoc 478396248_fit.json aibs_perisomatic i5Sst v1 i VisL5 biophysical Sst-IRES-Cre_Ai14-192340.03.01.01_491119721_m.swc
482690728 ctdb:Biophys1.hoc 482690728_fit.json aibs_perisomatic i5Sst v1 i VisL5 biophysical Sst-IRES-Cre_Ai14-199390.05.01.01_492101025_m.swc
100000121 nrn:IntFire1 e6Ntsr1_avg_lif.json  LIFe6Ntsr1 v1 e VisL6 point_process 
466632464 ctdb:Biophys1.hoc 466632464_fit.json aibs_perisomatic e6Ntsr1 v1 e VisL6 biophysical Ntsr1-Cre_Ai14-171080.04.02.01_492413307_m.swc
471410185 ctdb:Biophys1.hoc 471410185_fit.json aibs_perisomatic e6Ntsr1 v1 e VisL6 biophysical Ntsr1-Cre_Ai14-180761.02.01.01_491459160_m.swc
471786879 ctdb:Biophys1.hoc 471786879_fit.json aibs_perisomatic e6Ntsr1 v1 e VisL6 biophysical Ntsr1-Cre_Ai14-181184.05.02.01_491392868_m.swc
471789504 ctdb:Biophys1.hoc 471789504_fit.json aibs_perisomatic e6Ntsr1 v1 e VisL6 biophysical Ntsr1-Cre_Ai14-181184.05.01.01_492413318_m.swc
471819401 ctdb:Biophys1.hoc 471819401_fit.json aibs_perisomatic e6Ntsr1 v1 e VisL6 biophysical Ntsr1-Cre_Ai14-181184.02.02.01_491771181_m.swc
100000106 nrn:IntFire1 i6Htr3a_avg_lif.json  LIFi6Htr3a v1 i VisL6 point_process 
581001895 ctdb:Biophys1.hoc 481001895_fit.json aibs_perisomatic i6Htr3a v1 i VisL6 biophysical Htr3a-Cre_NO152_Ai14-198254.03.02.01_491119526_m.swc
581136138 ctdb:Biophys1.hoc 481136138_fit.json aibs_perisomatic i6Htr3a v1 i VisL6 biophysical Htr3a-Cre_NO152_Ai14-200434.06.02.01_513556274_m.swc
100000103 nrn:IntFire1 i6Pvalb_avg_lif.json  LIFi6Pvalb v1 i VisL6 point_process 
321708130 ctdb:Biophys1.hoc 321708130_fit.json aibs_perisomatic i6Pvalb v1 i VisL6 biophysical Pvalb-IRES-Cre_Ai14-172101.05.02.01_491119710_m.swc
471087830 ctdb:Biophys1.hoc 471087830_fit.json aibs_perisomatic i6Pvalb v1 i VisL6 biophysical Pvalb-IRES-Cre_Ai14-180634.04.01.01_495335480_m.swc
478058328 ctdb:Biophys1.hoc 478058328_fit.json aibs_perisomatic i6Pvalb v1 i VisL6 biophysical Pvalb-IRES-Cre_Ai14-191322.04.02.01_491119269_m.swc
478828646 ctdb:Biophys1.hoc 478828646_fit.json aibs_perisomatic i6Pvalb v1 i VisL6 biophysical Pvalb-IRES-Cre_Ai14-195049.06.01.01_491119604_m.swc
100000120 nrn:IntFire1 i6Sst_avg_lif.json  LIFi6Sst v1 i VisL6 point_process 
313862306 ctdb:Biophys1.hoc 313862306_fit.json aibs_perisomatic i6Sst v1 i VisL6 biophysical Sst-IRES-Cre_Ai14-167636.04.01.01_491119515_m.swc
473564515 ctdb:Biophys1.hoc 473564515_fit.json aibs_perisomatic i6Sst v1 i VisL6 biophysical Sst-IRES-Cre_Ai14-182533.05.01.01_491770886_m.swc
476104386 ctdb:Biophys1.hoc 476104386_fit.json aibs_perisomatic i6Sst v1 i VisL6 biophysical Sst-IRES-Cre_Ai14-187427.04.01.01_491119894_m.swc
476754635 ctdb:Biophys1.hoc 476754635_fit.json aibs_perisomatic i6Sst v1 i VisL6 biophysical Sst-IRES-Cre_Ai14-188741.06.02.01_491771387_m.swc
