edge_type_id target_query source_query dynamics_params model_template weight_sigma weight_function distance_range delay syn_weight target_sections
209 node_type_id=='486052980' pop_name=='i5Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 0.000343337565178 "[""somatic"", ""basal"", ""apical""]"
210 node_type_id=='486110216' pop_name=='i5Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 0.00085946190733 "[""somatic"", ""basal"", ""apical""]"
211 node_type_id=='487664663' pop_name=='i5Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 0.000176302119792 "[""somatic"", ""basal"", ""apical""]"
212 node_type_id=='471129934' pop_name=='i4Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 0.000319715784342 "[""somatic"", ""basal"", ""apical""]"
213 node_type_id=='471143169' pop_name=='i4Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 4.18124345218e-05 "[""somatic"", ""basal"", ""apical""]"
214 node_type_id=='471758398' pop_name=='i4Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 0.000186042911936 "[""somatic"", ""basal"", ""apical""]"
215 node_type_id=='471767045' pop_name=='i4Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 0.0001006722417429 "[""somatic"", ""basal"", ""apical""]"
216 node_type_id=='485574832' pop_name=='i4Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 9.17741681765e-05 "[""somatic"", ""basal"", ""apical""]"
217 node_type_id=='485835055' pop_name=='i4Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 5.55250874805e-05 "[""somatic"", ""basal"", ""apical""]"
218 node_type_id=='485880739' pop_name=='i4Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 9.35347114345e-05 "[""somatic"", ""basal"", ""apical""]"
219 node_type_id=='486052980' pop_name=='i4Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 0.0001753418213279 "[""somatic"", ""basal"", ""apical""]"
220 node_type_id=='486110216' pop_name=='i4Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 0.000433977059052 "[""somatic"", ""basal"", ""apical""]"
221 node_type_id=='487664663' pop_name=='i4Pvalb' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[0.0, 50.0]" 0.9 9.00136512815e-05 "[""somatic"", ""basal"", ""apical""]"
222 node_type_id=='471129934' pop_name=='e4Rorb' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.00103795967626 "[""basal"", ""apical""]"
223 node_type_id=='471129934' pop_name=='LIFe4Rorb' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.00103795967626 "[""basal"", ""apical""]"
224 node_type_id=='471143169' pop_name=='e4Rorb' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.000443089645267 "[""basal"", ""apical""]"
225 node_type_id=='471758398' pop_name=='e4Rorb' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.0006198463559269 "[""basal"", ""apical""]"
226 node_type_id=='471767045' pop_name=='e4Rorb' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.000794301297115 "[""basal"", ""apical""]"
227 node_type_id=='471767045' pop_name=='LIFe4Rorb' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.000794301297115 "[""basal"", ""apical""]"
228 node_type_id=='485574832' pop_name=='e4Rorb' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.000835992146815 "[""basal"", ""apical""]"
229 node_type_id=='485574832' pop_name=='LIFe4Rorb' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.000835992146815 "[""basal"", ""apical""]"
230 node_type_id=='485835055' pop_name=='e4Rorb' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.000647903145051 "[""basal"", ""apical""]"
231 node_type_id=='485835055' pop_name=='LIFe4Rorb' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.000647903145051 "[""basal"", ""apical""]"
232 node_type_id=='485880739' pop_name=='e4Rorb' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.000772161409851 "[""basal"", ""apical""]"
233 node_type_id=='485880739' pop_name=='LIFe4Rorb' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.000772161409851 "[""basal"", ""apical""]"
234 node_type_id=='486052980' pop_name=='e4Rorb' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.000897951825332 "[""basal"", ""apical""]"
235 node_type_id=='486052980' pop_name=='LIFe4Rorb' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.000897951825332 "[""basal"", ""apical""]"
236 node_type_id=='486110216' pop_name=='e4Rorb' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.000688643322757 "[""basal"", ""apical""]"
237 node_type_id=='487664663' pop_name=='e4Rorb' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.000890493189227 "[""basal"", ""apical""]"
238 node_type_id=='487664663' pop_name=='LIFe4Rorb' AMPA_ExcToExc.json exp2syn 30.0 DirectionRule_EE "[0.0, 1e+20]" 1.5 0.000890493189227 "[""basal"", ""apical""]"
239 node_type_id=='471129934' pop_name=='i4Sst' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[50.0, 1e+20]" 1.5 0.000187408631022 "[""basal"", ""apical""]"
240 node_type_id=='471758398' pop_name=='i4Sst' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[50.0, 1e+20]" 1.5 8.6387982143e-05 "[""basal"", ""apical""]"
241 node_type_id=='471767045' pop_name=='i4Sst' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[50.0, 1e+20]" 1.5 5.1924832913e-05 "[""basal"", ""apical""]"
242 node_type_id=='485574832' pop_name=='i4Sst' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[50.0, 1e+20]" 1.5 5.66198132145e-05 "[""basal"", ""apical""]"
243 node_type_id=='485835055' pop_name=='i4Sst' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[50.0, 1e+20]" 1.5 3.01543850568e-05 "[""basal"", ""apical""]"
244 node_type_id=='485880739' pop_name=='i4Sst' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[50.0, 1e+20]" 1.5 4.80250771153e-05 "[""basal"", ""apical""]"
245 node_type_id=='486052980' pop_name=='i4Sst' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[50.0, 1e+20]" 1.5 0.000111199680226 "[""basal"", ""apical""]"
246 node_type_id=='486110216' pop_name=='i4Sst' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[50.0, 1e+20]" 1.5 0.000198203424893 "[""basal"", ""apical""]"
247 node_type_id=='487664663' pop_name=='i4Sst' GABA_InhToExc.json exp2syn 90.0 DirectionRule_others "[50.0, 1e+20]" 1.5 8.063567673899999e-05 "[""basal"", ""apical""]"
